ID_Lead,Vendedor que atendeu,Data do Lead,Data da Conversão,Receita Possível,Receita Gerada,Receita Perdida,Data da Perda,Motivo da Perda,STATUS DO LEAD,Tempo até Conversão (Dias)
1553,Vendedor B,2022-09-22 00:00:00,,20205,,20205.0,2023-02-24 00:00:00,Não retornou contato,Perdido,
1558,Vendedor D,2022-09-22 00:00:00,,13455,,13455.0,2022-09-29 00:00:00,Vai fechar com a concorrência,Perdido,
1559,Vendedor E,2022-09-23 00:00:00,2022-09-23 00:00:00,14955,14955.0,,,,Convertido,0.0
1561,Vendedor C,2022-09-23 00:00:00,2022-09-23 00:00:00,14955,14955.0,,,,Convertido,0.0
1563,Vendedor B,2022-09-23 00:00:00,2022-09-30 00:00:00,13459.5,13459.5,,,,Convertido,7.0
1562,Vendedor C,2022-09-23 00:00:00,2022-10-03 00:00:00,14955,14955.0,,,,Convertido,10.0
1564,Vendedor E,2022-09-23 00:00:00,2022-11-30 00:00:00,20205,20205.0,,,,Convertido,68.0
1560,Vendedor E,2022-09-23 00:00:00,2022-12-22 00:00:00,20205.15,20205.15,,,,Convertido,90.0
1565,Vendedor C,2022-09-24 00:00:00,2022-09-24 00:00:00,14955,14955.0,,,,Convertido,0.0
1567,Vendedor E,2022-09-25 00:00:00,2022-09-25 00:00:00,14955,14955.0,,,,Convertido,0.0
1566,Vendedor E,2022-09-25 00:00:00,2022-09-30 00:00:00,13459.5,13459.5,,,,Convertido,5.0
1570,Vendedor D,2022-09-26 00:00:00,2022-09-26 00:00:00,14955,14955.0,,,,Convertido,0.0
1572,Vendedor D,2022-09-26 00:00:00,2022-09-26 00:00:00,14955,14955.0,,,,Convertido,0.0
1569,Vendedor D,2022-09-26 00:00:00,2022-09-26 00:00:00,13459.5,13459.5,,,,Convertido,0.0
1568,Vendedor A,2022-09-26 00:00:00,2022-09-30 00:00:00,13459.5,13459.5,,,,Convertido,4.0
1571,Vendedor B,2022-09-26 00:00:00,2022-09-30 00:00:00,13459.5,13459.5,,,,Convertido,4.0
1574,Vendedor E,2022-09-27 00:00:00,2022-11-29 00:00:00,19200,19200.0,,,,Convertido,63.0
1573,Vendedor C,2022-09-27 00:00:00,,13455,,13455.0,2022-10-04 00:00:00,Não retornou contato,Perdido,
1575,Vendedor C,2022-09-28 00:00:00,2022-09-30 00:00:00,14955,14955.0,,,,Convertido,2.0
1576,Vendedor B,2022-09-28 00:00:00,2022-10-14 00:00:00,14955,14955.0,,,,Convertido,16.0
1578,Vendedor A,2022-09-28 00:00:00,2022-11-23 00:00:00,18184.5,18184.5,,,,Convertido,56.0
1577,Vendedor D,2022-09-28 00:00:00,,14955,,14955.0,2022-10-03 00:00:00,Não tem interesse,Perdido,
1579,Vendedor A,2022-09-29 00:00:00,2022-09-29 00:00:00,13459.5,13459.5,,,,Convertido,0.0
1585,Vendedor C,2022-09-29 00:00:00,2022-09-29 00:00:00,13459.5,13459.5,,,,Convertido,0.0
1580,Vendedor A,2022-09-29 00:00:00,2022-09-30 00:00:00,13459.5,13459.5,,,,Convertido,1.0
1582,Vendedor C,2022-09-29 00:00:00,2022-09-30 00:00:00,13455,13455.0,,,,Convertido,1.0
1584,Vendedor B,2022-09-29 00:00:00,2022-10-04 00:00:00,13459.5,13459.5,,,,Convertido,5.0
1581,Vendedor E,2022-09-29 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,7.0
1583,Vendedor A,2022-09-29 00:00:00,,20205,,20205.0,2023-02-13 00:00:00,Preço alto,Perdido,
1586,Vendedor C,2022-09-29 00:00:00,,20205,,20205.0,2023-01-05 00:00:00,Não retornou contato,Perdido,
1588,Vendedor D,2022-09-30 00:00:00,2022-09-30 00:00:00,14955,14955.0,,,,Convertido,0.0
1587,Vendedor A,2022-09-30 00:00:00,2022-09-30 00:00:00,13459.5,13459.5,,,,Convertido,0.0
1589,Vendedor B,2022-09-30 00:00:00,2022-10-03 00:00:00,13459.5,13459.5,,,,Convertido,3.0
1590,Vendedor E,2022-09-30 00:00:00,,20205,,20205.0,2023-02-24 00:00:00,Não retornou contato,Perdido,
1591,Vendedor B,2022-10-01 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,5.0
1593,Vendedor B,2022-10-01 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,5.0
1592,Vendedor D,2022-10-01 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,6.0
1598,Vendedor E,2022-10-03 00:00:00,2022-10-03 00:00:00,14955,14955.0,,,,Convertido,0.0
1597,Vendedor D,2022-10-03 00:00:00,2022-10-04 00:00:00,13459.5,13459.5,,,,Convertido,1.0
1596,Vendedor E,2022-10-03 00:00:00,2022-10-10 00:00:00,14955,14955.0,,,,Convertido,7.0
1595,Vendedor A,2022-10-03 00:00:00,2022-11-12 00:00:00,20205,20205.0,,,,Convertido,40.0
1599,Vendedor A,2022-10-03 00:00:00,2022-11-21 00:00:00,20209.5,20209.5,,,,Convertido,49.0
1594,Vendedor D,2022-10-03 00:00:00,,14955,,14955.0,2022-10-07 00:00:00,Vai fechar com a concorrência,Perdido,
1600,Vendedor A,2022-10-03 00:00:00,,20205,,20205.0,2023-01-24 00:00:00,Preço alto,Perdido,
1602,Vendedor B,2022-10-04 00:00:00,2022-10-04 00:00:00,14955,14955.0,,,,Convertido,0.0
1605,Vendedor C,2022-10-04 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,2.0
1603,Vendedor E,2022-10-04 00:00:00,2022-10-10 00:00:00,14955,14955.0,,,,Convertido,6.0
1604,Vendedor B,2022-10-04 00:00:00,2022-11-11 00:00:00,20205,20205.0,,,,Convertido,38.0
1601,Vendedor C,2022-10-04 00:00:00,2023-01-17 00:00:00,22455,22455.0,,,,Convertido,105.0
1606,Vendedor B,2022-10-05 00:00:00,2022-10-05 00:00:00,14955,14955.0,,,,Convertido,0.0
1607,Vendedor E,2022-10-05 00:00:00,2022-10-05 00:00:00,14955,14955.0,,,,Convertido,0.0
1610,Vendedor C,2022-10-05 00:00:00,2022-10-05 00:00:00,14955,14955.0,,,,Convertido,0.0
1608,Vendedor D,2022-10-05 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,2.0
1609,Vendedor B,2022-10-05 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,2.0
1611,Vendedor A,2022-10-06 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,0.0
1612,Vendedor E,2022-10-06 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,0.0
1613,Vendedor A,2022-10-06 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,0.0
1614,Vendedor A,2022-10-06 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,0.0
1616,Vendedor E,2022-10-06 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,0.0
1617,Vendedor C,2022-10-06 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,0.0
1618,Vendedor D,2022-10-06 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,0.0
1620,Vendedor D,2022-10-06 00:00:00,2022-10-06 00:00:00,14955,14955.0,,,,Convertido,0.0
1615,Vendedor C,2022-10-06 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,1.0
1619,Vendedor D,2022-10-06 00:00:00,,22455,,22455.0,2023-01-20 00:00:00,Não retornou contato,Perdido,
1621,Vendedor E,2022-10-06 00:00:00,,14955,,14955.0,2022-10-07 00:00:00,Não tem interesse,Perdido,
1627,Vendedor E,2022-10-07 00:00:00,2022-10-07 00:00:00,14955.599999999999,14955.6,,,,Convertido,0.0
1622,Vendedor B,2022-10-07 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,0.0
1623,Vendedor E,2022-10-07 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,0.0
1624,Vendedor E,2022-10-07 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,0.0
1625,Vendedor A,2022-10-07 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,0.0
1628,Vendedor A,2022-10-07 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,0.0
1629,Vendedor E,2022-10-07 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,0.0
1633,Vendedor B,2022-10-07 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,0.0
1634,Vendedor E,2022-10-07 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,0.0
1636,Vendedor D,2022-10-07 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,0.0
1637,Vendedor A,2022-10-07 00:00:00,2022-10-07 00:00:00,14955,14955.0,,,,Convertido,0.0
1635,Vendedor E,2022-10-07 00:00:00,2022-10-07 00:00:00,13459.5,13459.5,,,,Convertido,0.0
1631,Vendedor A,2022-10-07 00:00:00,2022-11-17 00:00:00,20205,20205.0,,,,Convertido,41.0
1626,Vendedor A,2022-10-07 00:00:00,,20205,,20205.0,2023-03-30 00:00:00,Não retornou contato,Perdido,
1630,Vendedor D,2022-10-07 00:00:00,,20205,,20205.0,2023-02-01 00:00:00,Não retornou contato,Perdido,
1632,Vendedor D,2022-10-07 00:00:00,,20205,,20205.0,2022-12-28 00:00:00,Não retornou contato,Perdido,
1641,Vendedor E,2022-10-08 00:00:00,2022-11-11 00:00:00,20205,20205.0,,,,Convertido,34.0
1638,Vendedor E,2022-10-08 00:00:00,,20205,,20205.0,2022-10-13 00:00:00,Não tem interesse,Perdido,
1639,Vendedor C,2022-10-08 00:00:00,,20205,,20205.0,2022-10-11 00:00:00,Não tem interesse,Perdido,
1640,Vendedor A,2022-10-08 00:00:00,,20205,,20205.0,2023-02-17 00:00:00,Não tem interesse,Perdido,
1645,Vendedor A,2022-10-09 00:00:00,2022-10-11 00:00:00,19200,19200.0,,,,Convertido,2.0
1644,Vendedor A,2022-10-09 00:00:00,2022-10-11 00:00:00,14955,14955.0,,,,Convertido,2.0
1643,Vendedor C,2022-10-09 00:00:00,2022-10-18 00:00:00,20205,20205.0,,,,Convertido,9.0
1642,Vendedor C,2022-10-09 00:00:00,,20205,,20205.0,2022-10-10 00:00:00,Não tem interesse,Perdido,
1646,Vendedor A,2022-10-10 00:00:00,2022-10-10 00:00:00,22455,22455.0,,,,Convertido,0.0
1647,Vendedor B,2022-10-10 00:00:00,2022-10-10 00:00:00,22455,22455.0,,,,Convertido,0.0
1648,Vendedor B,2022-10-10 00:00:00,,20205,,20205.0,2022-11-28 00:00:00,Não retornou contato,Perdido,
1649,Vendedor C,2022-10-10 00:00:00,,20205,,20205.0,2022-10-27 00:00:00,Não tem interesse,Perdido,
1651,Vendedor B,2022-10-11 00:00:00,2022-10-16 00:00:00,14955,14955.0,,,,Convertido,5.0
1650,Vendedor D,2022-10-11 00:00:00,,20205,,20205.0,2022-10-11 00:00:00,Outros,Perdido,
1653,Vendedor A,2022-10-12 00:00:00,2022-10-15 00:00:00,14955,14955.0,,,,Convertido,3.0
1652,Vendedor C,2022-10-12 00:00:00,,20205,,20205.0,2023-02-28 00:00:00,Não retornou contato,Perdido,
1654,Vendedor B,2022-10-12 00:00:00,,20205,,20205.0,2022-10-18 00:00:00,Não tem interesse,Perdido,
1657,Vendedor B,2022-10-13 00:00:00,2022-10-13 00:00:00,20205,20205.0,,,,Convertido,0.0
1655,Vendedor B,2022-10-13 00:00:00,,19200,,19200.0,2023-02-03 00:00:00,Não tem interesse,Perdido,
1656,Vendedor D,2022-10-13 00:00:00,,20205,,20205.0,2022-12-22 00:00:00,Não retornou contato,Perdido,
1658,Vendedor E,2022-10-13 00:00:00,,20205,,20205.0,2023-02-22 00:00:00,Não retornou contato,Perdido,
1659,Vendedor D,2022-10-13 00:00:00,,20205,,20205.0,2022-11-09 00:00:00,Não retornou contato,Perdido,
1661,Vendedor A,2022-10-14 00:00:00,2022-10-14 00:00:00,22455,22455.0,,,,Convertido,0.0
1663,Vendedor D,2022-10-14 00:00:00,2022-10-14 00:00:00,22455,22455.0,,,,Convertido,0.0
1660,Vendedor A,2022-10-14 00:00:00,2022-10-28 00:00:00,20205,20205.0,,,,Convertido,14.0
1662,Vendedor A,2022-10-14 00:00:00,2022-11-23 00:00:00,20209.5,20209.5,,,,Convertido,40.0
1664,Vendedor C,2022-10-14 00:00:00,,20205,,20205.0,2022-12-02 00:00:00,Não retornou contato,Perdido,
1669,Vendedor D,2022-10-15 00:00:00,2022-10-24 00:00:00,20205,20205.0,,,,Convertido,9.0
1665,Vendedor D,2022-10-15 00:00:00,,20205,,20205.0,2022-12-15 00:00:00,Não retornou contato,Perdido,
1666,Vendedor D,2022-10-15 00:00:00,,20205,,20205.0,2022-10-21 00:00:00,Não retornou contato,Perdido,
1667,Vendedor A,2022-10-15 00:00:00,,22455,,22455.0,2023-02-27 00:00:00,Não retornou contato,Perdido,
1668,Vendedor A,2022-10-15 00:00:00,,20205,,20205.0,2022-10-19 00:00:00,Não tem interesse,Perdido,
1673,Vendedor A,2022-10-17 00:00:00,2022-10-17 00:00:00,22455,22455.0,,,,Convertido,0.0
1671,Vendedor B,2022-10-17 00:00:00,2023-03-01 00:00:00,19200,19200.0,,,,Convertido,135.0
1670,Vendedor C,2022-10-17 00:00:00,,20205,,20205.0,2023-03-22 00:00:00,Não retornou contato,Perdido,
1672,Vendedor B,2022-10-17 00:00:00,,20205,,20205.0,2022-10-20 00:00:00,Não tem interesse,Perdido,
1674,Vendedor D,2022-10-18 00:00:00,2023-01-10 00:00:00,22455,22455.0,,,,Convertido,84.0
1675,Vendedor B,2022-10-18 00:00:00,,20205,,20205.0,2022-10-19 00:00:00,Não tem interesse,Perdido,
1676,Vendedor C,2022-10-19 00:00:00,,20205,,20205.0,2022-10-21 00:00:00,Não tem interesse,Perdido,
1677,Vendedor C,2022-10-19 00:00:00,,20205,,20205.0,2023-02-14 00:00:00,Preço alto,Perdido,
1678,Vendedor D,2022-10-20 00:00:00,,20205,,20205.0,2022-10-20 00:00:00,Não tem interesse,Perdido,
1679,Vendedor A,2022-10-20 00:00:00,,20205,,20205.0,2022-10-25 00:00:00,Não tem interesse,Perdido,
1680,Vendedor A,2022-10-20 00:00:00,,20205,,20205.0,2022-10-26 00:00:00,Não retornou contato,Perdido,
1681,Vendedor E,2022-10-20 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Preço alto,Perdido,
1682,Vendedor E,2022-10-21 00:00:00,,20205,,20205.0,2022-12-06 00:00:00,Preço alto,Perdido,
1683,Vendedor E,2022-10-22 00:00:00,2022-10-26 00:00:00,19200,19200.0,,,,Convertido,4.0
1686,Vendedor D,2022-10-22 00:00:00,2022-10-31 00:00:00,20205,20205.0,,,,Convertido,9.0
1684,Vendedor A,2022-10-22 00:00:00,,20205,,20205.0,2023-03-30 00:00:00,Não retornou contato,Perdido,
1685,Vendedor C,2022-10-22 00:00:00,,20205,,20205.0,2022-11-04 00:00:00,Não retornou contato,Perdido,
1687,Vendedor A,2022-10-23 00:00:00,,20205,,20205.0,2022-10-31 00:00:00,Não retornou contato,Perdido,
1688,Vendedor C,2022-10-23 00:00:00,,20205,,20205.0,2022-11-04 00:00:00,Não retornou contato,Perdido,
1689,Vendedor A,2022-10-23 00:00:00,,20205,,20205.0,2022-10-24 00:00:00,Outros,Perdido,
1694,Vendedor E,2022-10-24 00:00:00,2022-10-24 00:00:00,22455,22455.0,,,,Convertido,0.0
1690,Vendedor E,2022-10-24 00:00:00,2022-10-24 00:00:00,20205,20205.0,,,,Convertido,0.0
1692,Vendedor A,2022-10-24 00:00:00,2022-10-31 00:00:00,22455,22455.0,,,,Convertido,7.0
1691,Vendedor A,2022-10-24 00:00:00,,20205,,20205.0,2022-11-04 00:00:00,Não retornou contato,Perdido,
1693,Vendedor C,2022-10-24 00:00:00,,20205,,20205.0,2022-11-11 00:00:00,Não retornou contato,Perdido,
1695,Vendedor E,2022-10-24 00:00:00,,20205,,20205.0,2023-01-24 00:00:00,Não retornou contato,Perdido,
1696,Vendedor B,2022-10-24 00:00:00,,20205,,20205.0,2022-11-04 00:00:00,Não retornou contato,Perdido,
1703,Vendedor B,2022-10-25 00:00:00,2022-10-31 00:00:00,19200,19200.0,,,,Convertido,6.0
1699,Vendedor B,2022-10-25 00:00:00,2022-11-03 00:00:00,20209.649999999998,20209.65,,,,Convertido,9.0
1697,Vendedor C,2022-10-25 00:00:00,,20205,,20205.0,2022-10-31 00:00:00,Vai fechar com a concorrência,Perdido,
1698,Vendedor E,2022-10-25 00:00:00,,20205,,20205.0,2023-02-17 00:00:00,Não retornou contato,Perdido,
1700,Vendedor A,2022-10-25 00:00:00,,20205,,20205.0,2022-11-30 00:00:00,Preço alto,Perdido,
1701,Vendedor B,2022-10-25 00:00:00,,20205,,20205.0,2022-11-30 00:00:00,Outros,Perdido,
1702,Vendedor D,2022-10-25 00:00:00,,20205,,20205.0,2022-10-31 00:00:00,Não retornou contato,Perdido,
1704,Vendedor C,2022-10-25 00:00:00,,20205,,20205.0,2022-11-04 00:00:00,Não retornou contato,Perdido,
1711,Vendedor C,2022-10-26 00:00:00,2022-11-30 00:00:00,20209.5,20209.5,,,,Convertido,35.0
1706,Vendedor B,2022-10-26 00:00:00,2022-11-30 00:00:00,20205,20205.0,,,,Convertido,35.0
1705,Vendedor E,2022-10-26 00:00:00,,20205,,20205.0,2022-10-31 00:00:00,Não retornou contato,Perdido,
1707,Vendedor A,2022-10-26 00:00:00,,20205,,20205.0,2022-10-28 00:00:00,Não tem interesse,Perdido,
1708,Vendedor B,2022-10-26 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Não retornou contato,Perdido,
1709,Vendedor B,2022-10-26 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Não retornou contato,Perdido,
1710,Vendedor E,2022-10-26 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Não retornou contato,Perdido,
1712,Vendedor C,2022-10-26 00:00:00,,20205,,20205.0,2022-11-04 00:00:00,Não retornou contato,Perdido,
1713,Vendedor C,2022-10-26 00:00:00,,20205,,20205.0,2022-11-23 00:00:00,Não retornou contato,Perdido,
1714,Vendedor C,2022-10-27 00:00:00,,20205,,20205.0,2022-11-23 00:00:00,Não retornou contato,Perdido,
1715,Vendedor A,2022-10-27 00:00:00,,20205,,20205.0,2022-11-11 00:00:00,Não retornou contato,Perdido,
1716,Vendedor C,2022-10-27 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Não retornou contato,Perdido,
1717,Vendedor D,2022-10-27 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Não retornou contato,Perdido,
1718,Vendedor C,2022-10-27 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Não retornou contato,Perdido,
1719,Vendedor C,2022-10-27 00:00:00,,20205,,20205.0,2022-11-11 00:00:00,Não retornou contato,Perdido,
1720,Vendedor D,2022-10-27 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Não retornou contato,Perdido,
1721,Vendedor E,2022-10-27 00:00:00,,11250,,11250.0,2022-10-28 00:00:00,Outros,Perdido,
1722,Vendedor B,2022-10-27 00:00:00,,20205,,20205.0,2022-11-09 00:00:00,Não retornou contato,Perdido,
1723,Vendedor C,2022-10-27 00:00:00,,20205,,20205.0,2022-10-28 00:00:00,Vai fechar com a concorrência,Perdido,
1724,Vendedor A,2022-10-27 00:00:00,,20205,,20205.0,2022-11-23 00:00:00,Não retornou contato,Perdido,
1725,Vendedor D,2022-10-27 00:00:00,,20205,,20205.0,2022-11-11 00:00:00,Vai deixar para outro momento,Perdido,
1726,Vendedor D,2022-10-27 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Não retornou contato,Perdido,
1727,Vendedor E,2022-10-27 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Outros,Perdido,
1728,Vendedor A,2022-10-27 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Não retornou contato,Perdido,
1729,Vendedor D,2022-10-27 00:00:00,,20205,,20205.0,2022-11-07 00:00:00,Não retornou contato,Perdido,
1730,Vendedor E,2022-10-28 00:00:00,,20205,,20205.0,2022-11-11 00:00:00,Não retornou contato,Perdido,
1731,Vendedor E,2022-10-28 00:00:00,,20205,,20205.0,2022-11-23 00:00:00,Não retornou contato,Perdido,
1732,Vendedor D,2022-10-28 00:00:00,,20205,,20205.0,2022-11-09 00:00:00,Não retornou contato,Perdido,
1733,Vendedor D,2022-10-28 00:00:00,,20205,,20205.0,2022-12-22 00:00:00,Não retornou contato,Perdido,
1734,Vendedor C,2022-10-28 00:00:00,,20205,,20205.0,2022-12-09 00:00:00,Vai deixar para outro momento,Perdido,
1735,Vendedor A,2022-10-28 00:00:00,,20205,,20205.0,2022-12-29 00:00:00,Preço alto,Perdido,
1736,Vendedor B,2022-10-28 00:00:00,,20205,,20205.0,2022-11-09 00:00:00,Não retornou contato,Perdido,
